State,Crop,Year,Season,Area (ha),Production (tonnes),Yield (tonnes/ha),Fertilizer Used,Irrigation Type,Soil Type,Pesticide Used,Temperature (°C),Rainfall (mm),Labor Count,District,Market Price (Rs/quintal),Government Support
West Bengal,Wheat,2018,Rabi,2882.89,12123.38,4.21,None,Canal,Sandy,Yes,38.2,337,87,Kolkata,4959.57,Yes
West Bengal,Sugarcane,2019,Zaid,33308.34,139407.17,4.19,None,Canal,Sandy,No,33,457.9,73,Chennai,2627.52,Yes
Karnataka,Wheat,2017,Zaid,26401.99,51497.27,1.95,MOP,Sprinkler,Red,No,35.5,766.8,88,Mumbai,1043.85,Yes
Karnataka,Sugarcane,2017,Zaid,34331.16,55788.78,1.63,None,Canal,Clay,No,27.2,1868,34,Kolkata,1679.17,Yes
Punjab,Maize,2017,Kharif,40304.4,73196.93,1.82,DAP,Sprinkler,Loamy,No,23.7,1619.4,12,Chennai,3610.11,Yes
Punjab,Cotton,2020,Kharif,19992.17,57694.22,2.89,Compost,Sprinkler,Red,No,32.9,922.3,42,Chennai,3448.32,Yes
Bihar,Maize,2020,Zaid,47173.45,181689.86,3.85,Compost,Canal,Loamy,Yes,26.6,1036.8,65,Kolkata,4151.46,Yes
Uttar Pradesh,Maize,2018,Kharif,27931.19,111490.23,3.99,Compost,Drip,Clay,Yes,37.2,604.7,85,Ludhiana,2015.54,No
Karnataka,Rice,2020,Kharif,15476.79,58930.5,3.81,Compost,Rainfed,Sandy,Yes,22.5,1438.3,69,Kolkata,4054.53,No
Punjab,Wheat,2018,Zaid,11078.68,20652.42,1.86,MOP,Sprinkler,Black,Yes,28.7,1625.3,71,Lucknow,3751.94,Yes
Maharashtra,Sugarcane,2017,Kharif,48031.5,140961.21,2.93,None,Canal,Black,Yes,27.9,553.9,50,Amritsar,2291.26,No
Tamil Nadu,Rice,2018,Kharif,7136.44,20859.87,2.92,Compost,Sprinkler,Clay,No,38.8,179.5,94,Amritsar,3181.95,No
Haryana,Cotton,2021,Zaid,26517.64,88820.81,3.35,Urea,Drip,Black,Yes,23.1,1285.4,99,Mumbai,1589.1,No
Haryana,Maize,2018,Zaid,6429.59,21189.32,3.3,Compost,Drip,Loamy,Yes,20.2,1168.8,76,Bangalore,2810.26,No
Punjab,Wheat,2019,Rabi,22530.84,75226.39,3.34,None,Canal,Black,No,24.8,864,47,Kolkata,4524.79,No
Maharashtra,Sugarcane,2020,Kharif,34123.13,101964.81,2.99,Compost,Sprinkler,Clay,No,36.4,1323.4,63,Ludhiana,2684.77,No
Punjab,Cotton,2019,Rabi,40981.4,167372.55,4.08,MOP,Rainfed,Clay,Yes,24.2,1146.2,50,Lucknow,4358.27,Yes
Punjab,Sugarcane,2017,Zaid,13359.81,50301.37,3.77,DAP,Rainfed,Loamy,Yes,24.8,576.1,76,Amritsar,3361.01,Yes
West Bengal,Sugarcane,2019,Rabi,37906.18,87487.23,2.31,DAP,Sprinkler,Black,No,22.6,855.7,39,Amritsar,1767.51,No
Bihar,Cotton,2021,Rabi,6289.24,22363.87,3.56,None,Sprinkler,Black,Yes,34.3,913.4,43,Ludhiana,3324.42,Yes
Bihar,Maize,2018,Zaid,24931.31,48666.62,1.95,DAP,Sprinkler,Sandy,Yes,21.4,1772.5,96,Lucknow,3023.93,No
Bihar,Cotton,2019,Kharif,29927.04,90531.74,3.03,DAP,Canal,Red,Yes,26.6,1925.7,55,Patna,2594.57,Yes
Tamil Nadu,Maize,2021,Rabi,43792.82,149284.21,3.41,Urea,Drip,Clay,No,25.6,1796.7,8,Lucknow,1478.52,Yes
Karnataka,Cotton,2018,Rabi,1457.25,3264.29,2.24,None,Rainfed,Sandy,Yes,31.1,1466.4,84,Ludhiana,2666.83,Yes
West Bengal,Maize,2017,Zaid,20673.22,80629.96,3.9,None,Canal,Clay,Yes,34.6,1211.5,81,Amritsar,1291.05,No
Uttar Pradesh,Wheat,2018,Kharif,36920.49,123608.19,3.35,DAP,Sprinkler,Sandy,No,30.7,1409.6,88,Bangalore,1395.08,Yes
Uttar Pradesh,Rice,2017,Kharif,27396.09,84173.87,3.07,DAP,Sprinkler,Red,No,38.6,1884.3,55,Patna,2663.67,Yes
Haryana,Rice,2018,Rabi,41801.34,64085.42,1.53,DAP,Drip,Sandy,No,39,575,9,Ludhiana,2221.53,No
Punjab,Rice,2021,Kharif,34240.56,129045.62,3.77,MOP,Sprinkler,Clay,Yes,27.2,1116.7,59,Ludhiana,4702.18,No
Tamil Nadu,Maize,2021,Rabi,19047.17,54205.04,2.85,Compost,Canal,Black,No,35.6,1410.3,24,Chennai,2502.82,Yes
Bihar,Rice,2019,Rabi,20184.76,55263.16,2.74,MOP,Canal,Clay,Yes,34.8,1390.6,28,Lucknow,4031.43,No
Karnataka,Cotton,2018,Rabi,9177.37,18758.16,2.04,None,Drip,Loamy,No,37.9,579.3,40,Chennai,3120.99,Yes
West Bengal,Sugarcane,2017,Zaid,43838.86,132846.17,3.03,Urea,Canal,Loamy,Yes,29,1214.8,38,Patna,3816.34,Yes
Uttar Pradesh,Cotton,2018,Zaid,35444.23,58781.13,1.66,Compost,Rainfed,Loamy,No,30.6,1612.2,58,Patna,2040.46,No
Karnataka,Rice,2018,Zaid,14221.22,56531.46,3.98,Urea,Canal,Loamy,Yes,28.3,1002.7,38,Patna,4767.62,No
Punjab,Maize,2021,Rabi,49116.49,104594.84,2.13,None,Canal,Red,Yes,37,1607.3,87,Mumbai,3120.35,Yes
Bihar,Maize,2021,Rabi,17081.44,47863.19,2.8,None,Canal,Black,No,24.6,783.8,21,Lucknow,4325.3,No
Haryana,Sugarcane,2017,Zaid,40266.98,153005.08,3.8,Urea,Rainfed,Black,No,24.8,1883.6,9,Ludhiana,2460.18,Yes
Punjab,Sugarcane,2021,Kharif,21641.15,73764.55,3.41,Urea,Sprinkler,Clay,Yes,27.5,1114.5,93,Kolkata,1400.85,No
Karnataka,Maize,2020,Zaid,37259.33,162113.04,4.35,Urea,Canal,Sandy,No,24.6,1232.3,22,Bangalore,3694.85,No
West Bengal,Wheat,2020,Kharif,49002.69,97803.6,2,None,Drip,Clay,Yes,31.2,159.6,59,Bangalore,1031.04,No
Uttar Pradesh,Wheat,2021,Rabi,26385.86,63225.18,2.4,DAP,Rainfed,Clay,No,22.7,423.5,57,Ludhiana,2901.17,No
West Bengal,Maize,2018,Zaid,22053.18,90819.2,4.12,Urea,Drip,Clay,No,26.4,1302.6,54,Chennai,1771.21,No
West Bengal,Cotton,2020,Kharif,22323.84,96261.73,4.31,Compost,Canal,Clay,Yes,38.3,897.8,76,Ludhiana,3509.5,Yes
Bihar,Rice,2020,Rabi,36669.03,109617.79,2.99,None,Drip,Black,No,28.2,1065.5,95,Chennai,4917.68,Yes
Punjab,Wheat,2020,Rabi,3806.73,8282.19,2.18,MOP,Canal,Sandy,No,35,219.6,83,Kolkata,2857.61,Yes
Bihar,Sugarcane,2017,Zaid,46208.53,134752.45,2.92,MOP,Rainfed,Clay,Yes,22.3,1684.9,49,Chennai,4269.99,No
West Bengal,Sugarcane,2018,Rabi,2778.09,6465.06,2.33,Compost,Drip,Black,Yes,25,1590.6,17,Lucknow,3031.14,Yes
Tamil Nadu,Sugarcane,2018,Rabi,22015.46,88818.47,4.03,DAP,Drip,Clay,No,36.1,452.2,20,Amritsar,2983.36,Yes
Maharashtra,Sugarcane,2017,Kharif,42801.39,70172.95,1.64,Urea,Canal,Loamy,Yes,35.3,1305.2,90,Chennai,4721.69,No
Haryana,Rice,2019,Kharif,17950.1,43898.2,2.45,None,Canal,Clay,No,27.7,1654.8,88,Patna,4559.86,No
Uttar Pradesh,Rice,2019,Zaid,44224.65,118537.25,2.68,Urea,Sprinkler,Clay,No,39.1,1317.6,17,Chennai,4143.2,No
Haryana,Sugarcane,2017,Kharif,49083.56,111399.57,2.27,None,Canal,Red,Yes,38.2,689.8,24,Patna,2185.02,Yes
Uttar Pradesh,Rice,2021,Kharif,23732.69,104803.94,4.42,MOP,Canal,Loamy,Yes,39.2,1346.6,70,Mumbai,3180.03,Yes
Karnataka,Sugarcane,2017,Kharif,6590.69,12876.5,1.95,Urea,Sprinkler,Sandy,Yes,28.6,499.9,51,Amritsar,1895.59,No
Bihar,Rice,2017,Zaid,34503.95,108180.81,3.14,Compost,Canal,Clay,Yes,23.9,704.7,23,Amritsar,2775.67,Yes
Karnataka,Cotton,2021,Rabi,20794.92,65038.97,3.13,DAP,Canal,Sandy,Yes,32.5,556.1,49,Kolkata,2936.85,Yes
Tamil Nadu,Wheat,2017,Rabi,5004.54,14387.56,2.87,Compost,Sprinkler,Loamy,Yes,33.7,1158.2,41,Lucknow,4326.56,No
Punjab,Rice,2021,Kharif,47339.21,191720.3,4.05,DAP,Rainfed,Clay,No,22.5,305.6,58,Ludhiana,4584.11,Yes
Haryana,Rice,2018,Zaid,32897.7,103176.91,3.14,Urea,Rainfed,Red,No,35.7,1873.3,10,Lucknow,2658.48,No
Karnataka,Sugarcane,2019,Rabi,48925.03,189925.46,3.88,Urea,Canal,Black,Yes,20.4,733.7,18,Bangalore,1070.82,Yes
Punjab,Cotton,2020,Rabi,17180.54,64775.01,3.77,DAP,Canal,Red,No,29.7,516,8,Mumbai,4447.1,No
Maharashtra,Cotton,2020,Rabi,12701.01,36245.1,2.85,MOP,Sprinkler,Red,No,26.6,1043.4,90,Kolkata,1697.11,Yes
Haryana,Sugarcane,2018,Kharif,2331.2,3952.81,1.7,None,Sprinkler,Black,No,34.8,626.3,59,Lucknow,3487.53,Yes
Maharashtra,Maize,2020,Kharif,20145.69,78468.12,3.9,Compost,Rainfed,Black,No,26.3,1116.3,38,Patna,1099.88,No
Tamil Nadu,Sugarcane,2017,Zaid,19640.58,75161.27,3.83,Compost,Drip,Black,Yes,36.5,762.2,31,Mumbai,2598.03,No
Uttar Pradesh,Maize,2020,Rabi,5607.77,14412.04,2.57,Compost,Canal,Clay,No,31.9,350.9,11,Amritsar,4943.84,No
Punjab,Sugarcane,2021,Kharif,16305.11,55894.31,3.43,Urea,Drip,Sandy,No,35.9,605.2,7,Ludhiana,1402.77,No
Tamil Nadu,Rice,2018,Rabi,39869.81,97692.4,2.45,Compost,Drip,Sandy,Yes,39.8,933,51,Ludhiana,2694.77,Yes
Uttar Pradesh,Cotton,2019,Zaid,14568.32,64837.25,4.45,None,Sprinkler,Black,Yes,33.6,157.6,6,Patna,2228.6,No
Punjab,Sugarcane,2017,Zaid,10027.02,41932.69,4.18,None,Canal,Red,Yes,39.7,1564.2,84,Kolkata,4620.35,No
Bihar,Maize,2021,Rabi,31149.6,54524.02,1.75,DAP,Canal,Loamy,Yes,20.6,1281.5,29,Kolkata,4477.36,No
Karnataka,Wheat,2020,Zaid,25755.13,113358.11,4.4,Urea,Sprinkler,Black,No,26.8,1242.6,64,Mumbai,1950.8,No
Tamil Nadu,Cotton,2021,Kharif,36534.09,90203.9,2.47,None,Drip,Red,Yes,22.2,1137.5,83,Amritsar,1324.75,No
Bihar,Rice,2019,Zaid,7361.5,26211.23,3.56,MOP,Sprinkler,Red,No,25.2,1221.6,28,Lucknow,3508.55,Yes
Uttar Pradesh,Wheat,2020,Kharif,41324.96,87991.54,2.13,Urea,Rainfed,Clay,No,36.8,1875.8,19,Patna,2345.47,No
Maharashtra,Cotton,2019,Kharif,17505.18,41828.09,2.39,Urea,Canal,Clay,Yes,20.6,116.3,99,Patna,3688.34,No
Maharashtra,Rice,2019,Kharif,24087.23,95503.72,3.96,None,Rainfed,Sandy,Yes,30.4,190.8,18,Amritsar,1128.48,No
Bihar,Wheat,2021,Rabi,41143.5,170312.11,4.14,MOP,Sprinkler,Sandy,Yes,31.3,463.8,58,Patna,1533.6,Yes
Maharashtra,Rice,2021,Rabi,5931.24,13165.11,2.22,DAP,Canal,Loamy,Yes,31.2,417.9,82,Ludhiana,3745.49,Yes
Bihar,Rice,2017,Zaid,23067.2,86420.78,3.75,None,Rainfed,Loamy,Yes,29.5,444.3,10,Lucknow,1849.48,Yes
Punjab,Wheat,2021,Zaid,42343.13,95776.97,2.26,MOP,Rainfed,Loamy,Yes,35.8,1376.7,82,Lucknow,4430.35,No
Punjab,Sugarcane,2021,Rabi,16930.1,60253.91,3.56,Urea,Drip,Loamy,No,22.7,973,85,Lucknow,1234.36,No
Bihar,Wheat,2020,Kharif,42015.02,98223.9,2.34,MOP,Canal,Red,No,26.2,1984.4,22,Amritsar,1861.93,Yes
Tamil Nadu,Maize,2020,Rabi,26120.08,63104.34,2.42,Urea,Rainfed,Red,No,32.3,531.1,24,Chennai,4994.24,Yes
Tamil Nadu,Cotton,2019,Kharif,15893.37,54982.93,3.46,None,Rainfed,Sandy,No,33.8,690.6,66,Chennai,2732.3,No
Maharashtra,Sugarcane,2020,Kharif,38537.17,148959.34,3.87,None,Drip,Clay,Yes,28.1,1970.1,85,Kolkata,3811.86,No
West Bengal,Rice,2019,Kharif,43837.11,65780.44,1.5,Compost,Rainfed,Clay,Yes,37.5,1680.3,84,Kolkata,1730.65,No
Uttar Pradesh,Maize,2018,Rabi,23557.56,96437.37,4.09,Compost,Rainfed,Black,No,28.3,992.6,44,Ludhiana,3439.47,Yes
Karnataka,Maize,2019,Rabi,40315.36,118414.69,2.94,Compost,Rainfed,Red,No,28.1,1153.7,43,Patna,3904.42,No
Punjab,Wheat,2018,Rabi,14721.83,59991.83,4.08,None,Drip,Loamy,No,20.7,1702,56,Lucknow,2257.91,No
Uttar Pradesh,Maize,2019,Rabi,35266.45,141714.09,4.02,DAP,Rainfed,Loamy,Yes,31,1013.9,36,Patna,4315.59,Yes
West Bengal,Wheat,2019,Zaid,27101.12,92286.56,3.41,None,Rainfed,Black,Yes,34.2,491.4,77,Amritsar,3413.67,Yes
Bihar,Cotton,2021,Kharif,12852.8,19757.48,1.54,MOP,Canal,Clay,Yes,22.3,1674,31,Patna,2556.49,Yes
Karnataka,Sugarcane,2017,Rabi,30319.52,72515.6,2.39,None,Canal,Loamy,No,26.1,1121.8,56,Bangalore,3230.57,No
Uttar Pradesh,Wheat,2020,Zaid,45241.85,183536.76,4.06,None,Drip,Clay,No,35.6,390.8,67,Chennai,3307.04,Yes
Punjab,Cotton,2017,Zaid,31682.63,98024.46,3.09,Urea,Sprinkler,Black,Yes,27.3,1060.6,78,Patna,1662.14,Yes
Maharashtra,Wheat,2020,Zaid,14121.06,54612.95,3.87,Urea,Canal,Clay,Yes,24.8,885.1,67,Patna,2610.93,No
West Bengal,Cotton,2021,Kharif,30349.95,55989.56,1.84,Urea,Drip,Clay,No,33.4,1766,21,Mumbai,2373.72,No
West Bengal,Wheat,2021,Kharif,33790.81,134753.03,3.99,None,Rainfed,Clay,No,23.9,339.5,53,Ludhiana,2603.61,Yes
Karnataka,Wheat,2021,Zaid,22090.94,54141.35,2.45,DAP,Rainfed,Loamy,Yes,37.9,1762.9,85,Patna,4044.44,No
Bihar,Wheat,2019,Rabi,9076.41,18259.43,2.01,MOP,Drip,Sandy,No,22.1,1073.2,86,Bangalore,2930.15,Yes
West Bengal,Maize,2020,Kharif,35429.05,78379.7,2.21,MOP,Rainfed,Red,Yes,34.1,868.3,27,Chennai,4761.26,No
Tamil Nadu,Sugarcane,2020,Rabi,39550.77,174509.81,4.41,DAP,Rainfed,Clay,Yes,30,407.7,76,Mumbai,2174.71,No
Bihar,Rice,2018,Zaid,37436.1,113012.03,3.02,DAP,Sprinkler,Clay,No,37.4,1431.6,17,Ludhiana,2662.81,Yes
Tamil Nadu,Wheat,2018,Kharif,2948.53,9766.17,3.31,MOP,Rainfed,Clay,No,22.5,1860.9,27,Amritsar,4147.83,Yes
Uttar Pradesh,Maize,2020,Rabi,48605.1,121223.11,2.49,Compost,Canal,Sandy,No,33.6,813.2,61,Kolkata,3184.1,Yes
Punjab,Maize,2019,Kharif,24240.13,79328.31,3.27,Urea,Rainfed,Black,Yes,31.4,559,66,Amritsar,3188.11,No
West Bengal,Wheat,2017,Rabi,41832.54,168659.34,4.03,Urea,Drip,Loamy,No,29.6,1154.2,58,Chennai,1213.36,Yes
Punjab,Rice,2021,Kharif,29030.38,88194.39,3.04,MOP,Sprinkler,Sandy,No,29.8,1612.8,24,Kolkata,2594.4,No
Uttar Pradesh,Wheat,2017,Kharif,14943.55,59096.06,3.95,DAP,Rainfed,Clay,Yes,34.4,107.2,90,Amritsar,2082.93,No
West Bengal,Maize,2019,Zaid,29164.2,46342.05,1.59,Compost,Drip,Sandy,Yes,38.8,1299.6,56,Ludhiana,4997.34,Yes
Karnataka,Maize,2019,Zaid,7442.97,17298.91,2.32,MOP,Canal,Sandy,No,21.8,1233.4,27,Bangalore,2233.42,No
Punjab,Sugarcane,2019,Kharif,35987.6,119612.55,3.32,Urea,Rainfed,Sandy,Yes,20.4,704.5,39,Patna,4537.99,No
Karnataka,Wheat,2021,Rabi,47797.97,189451.79,3.96,None,Sprinkler,Black,Yes,36.1,957.7,71,Chennai,3704.93,Yes
Karnataka,Wheat,2019,Rabi,3505.63,7967.67,2.27,DAP,Rainfed,Red,Yes,22.2,569.2,38,Kolkata,2363.67,No
Tamil Nadu,Wheat,2020,Rabi,13578.02,47467.08,3.5,None,Drip,Loamy,No,39.7,1600.8,37,Mumbai,3174.14,No
Punjab,Sugarcane,2018,Kharif,6930.23,19105.56,2.76,MOP,Sprinkler,Black,No,32.4,1305.6,50,Patna,4362.14,Yes
Bihar,Wheat,2017,Rabi,16732.97,62741.15,3.75,Urea,Rainfed,Black,Yes,33,1112.2,85,Amritsar,4533.47,Yes
Haryana,Cotton,2017,Rabi,18734.08,61466.19,3.28,Compost,Canal,Red,Yes,24,845.8,49,Amritsar,1641.58,No
Haryana,Rice,2019,Rabi,6671.14,13095.21,1.96,None,Sprinkler,Black,Yes,24.8,653.6,23,Mumbai,2358.29,No
Uttar Pradesh,Sugarcane,2019,Kharif,45220.21,76844.13,1.7,Compost,Canal,Sandy,No,33.2,1663.2,98,Bangalore,2340.89,No
Karnataka,Rice,2017,Kharif,21679.68,51708.68,2.39,Urea,Drip,Sandy,Yes,38.2,957.7,91,Ludhiana,1168.18,No
Punjab,Cotton,2018,Kharif,7027.16,22317.75,3.18,None,Rainfed,Clay,Yes,39.6,1052.8,19,Ludhiana,3392.95,Yes
Tamil Nadu,Wheat,2017,Rabi,42434.61,151808.9,3.58,Compost,Canal,Black,No,24,1089.6,82,Mumbai,4419.28,No
Haryana,Sugarcane,2019,Kharif,14493.68,35059.35,2.42,Compost,Drip,Clay,Yes,22.7,951.9,70,Chennai,2526.3,No
Haryana,Sugarcane,2020,Rabi,19827.74,56516.4,2.85,None,Rainfed,Loamy,No,21.1,586.6,43,Mumbai,3960.14,No
Bihar,Wheat,2019,Rabi,19132.56,30272.7,1.58,Urea,Drip,Sandy,No,37.4,328.6,22,Amritsar,3510.8,No
Bihar,Wheat,2018,Kharif,32641.28,53346.8,1.63,Compost,Canal,Loamy,No,25.9,287.2,74,Bangalore,2502.59,Yes
Punjab,Wheat,2020,Zaid,2246.94,7723.78,3.44,MOP,Drip,Red,Yes,20,1539.2,63,Bangalore,1564.24,No
Bihar,Maize,2019,Zaid,4513.88,12317.87,2.73,None,Sprinkler,Sandy,Yes,24.5,524.7,36,Lucknow,3837.3,Yes
Punjab,Wheat,2021,Rabi,42244.44,136900.06,3.24,DAP,Rainfed,Loamy,No,26.8,205.8,25,Mumbai,4418.26,Yes
Maharashtra,Wheat,2020,Kharif,7887.1,23320.33,2.96,DAP,Drip,Red,Yes,39.8,1615.3,44,Chennai,3743.42,Yes
Karnataka,Maize,2019,Zaid,7653.66,13760.57,1.8,Urea,Canal,Loamy,No,30.5,392.7,96,Amritsar,1071.51,Yes
Maharashtra,Maize,2019,Rabi,20376.28,49710.36,2.44,MOP,Rainfed,Red,Yes,24.1,1287.8,31,Patna,1864.93,Yes
West Bengal,Cotton,2018,Kharif,41938.53,109509.51,2.61,Compost,Sprinkler,Red,No,26.7,743.4,6,Ludhiana,1277.92,No
Bihar,Cotton,2019,Zaid,22762.26,102079.04,4.48,DAP,Rainfed,Sandy,No,26.6,340.3,84,Ludhiana,3281.54,Yes
Punjab,Wheat,2021,Kharif,30736.99,60083.22,1.95,Urea,Sprinkler,Clay,Yes,20.4,887.5,43,Ludhiana,4025.91,Yes
Punjab,Cotton,2020,Kharif,8553.11,27037.53,3.16,MOP,Rainfed,Red,Yes,22.7,128.1,90,Bangalore,1442.32,Yes
Haryana,Cotton,2021,Zaid,42088.91,108107.76,2.57,MOP,Drip,Red,Yes,33.9,1698,60,Ludhiana,4353.35,No
Haryana,Cotton,2019,Rabi,3824.73,9666.41,2.53,Urea,Drip,Sandy,Yes,22.4,1075.6,17,Mumbai,3222.04,Yes
Bihar,Cotton,2020,Zaid,28327.73,72004.31,2.54,Urea,Canal,Clay,No,24.6,364.4,60,Lucknow,3759.88,No
Bihar,Cotton,2019,Kharif,31685.48,94001.11,2.97,Compost,Sprinkler,Black,No,27,550.3,70,Chennai,4885.61,Yes
Uttar Pradesh,Cotton,2017,Zaid,44135.42,148745.98,3.37,Urea,Canal,Black,Yes,35.2,951.2,82,Chennai,1334.72,Yes
Punjab,Rice,2019,Kharif,36810.08,71557.04,1.94,Compost,Drip,Clay,Yes,31.6,458.9,60,Kolkata,4604.9,No
West Bengal,Wheat,2021,Rabi,12159.74,53406.63,4.39,Compost,Sprinkler,Loamy,No,33.8,610.3,32,Ludhiana,1504.41,No
West Bengal,Rice,2019,Rabi,27135.94,111526.2,4.11,None,Canal,Sandy,Yes,31.3,1115.3,68,Amritsar,2571.84,No
West Bengal,Maize,2020,Kharif,39916.32,92897.36,2.33,MOP,Canal,Clay,Yes,33.7,1682,75,Bangalore,4405.75,Yes
Maharashtra,Rice,2020,Rabi,8291,23944.63,2.89,MOP,Canal,Black,Yes,20.1,863.5,86,Amritsar,4625.02,No
Karnataka,Sugarcane,2020,Rabi,29847.84,78380.12,2.63,MOP,Canal,Red,Yes,38.6,1462.3,68,Ludhiana,3025.49,No
Maharashtra,Maize,2017,Rabi,38328.11,101938.27,2.66,None,Canal,Black,No,22.2,1765.7,60,Lucknow,3376.42,No
Uttar Pradesh,Wheat,2019,Rabi,36560.11,152944.02,4.18,Compost,Sprinkler,Red,No,28.1,511,45,Patna,3832.59,No
Uttar Pradesh,Rice,2020,Zaid,30503.73,99875.93,3.27,Compost,Canal,Sandy,Yes,35.4,1633.7,45,Ludhiana,4331.03,No
Tamil Nadu,Cotton,2019,Zaid,6353.95,25809.02,4.06,Urea,Sprinkler,Red,No,28.7,1539.1,8,Patna,1486.04,Yes
Punjab,Wheat,2017,Kharif,44761.42,75529.2,1.69,None,Canal,Clay,Yes,38.9,778.2,61,Patna,4240.28,No
Maharashtra,Maize,2019,Kharif,26011.19,87912.04,3.38,Urea,Drip,Red,Yes,29.4,1980.1,34,Chennai,2925.1,Yes
Tamil Nadu,Rice,2021,Rabi,36412.64,130269.76,3.58,None,Drip,Loamy,Yes,37.5,598.9,92,Bangalore,2802.49,No
Haryana,Cotton,2020,Rabi,17336.96,64132.08,3.7,Urea,Canal,Clay,No,36.2,584.1,88,Ludhiana,2695.6,No
Maharashtra,Wheat,2019,Zaid,10831.9,48569.65,4.48,DAP,Rainfed,Sandy,No,39.6,1567.3,50,Amritsar,3036.85,Yes
Karnataka,Maize,2017,Kharif,32012.41,54648.02,1.71,MOP,Drip,Clay,No,38.5,925.8,60,Amritsar,4780.2,Yes
West Bengal,Cotton,2020,Kharif,38539.68,155614.14,4.04,MOP,Sprinkler,Loamy,No,38,728.5,35,Lucknow,3192.82,Yes
Haryana,Wheat,2018,Rabi,14736.39,52494.25,3.56,Compost,Canal,Sandy,No,34.6,439.5,92,Patna,4812.71,Yes
Tamil Nadu,Maize,2019,Zaid,31972.4,103306.72,3.23,DAP,Sprinkler,Black,Yes,27.3,1554.1,11,Bangalore,1721.16,No
Karnataka,Rice,2021,Kharif,5946.12,24419.72,4.11,MOP,Rainfed,Loamy,Yes,22.1,1594,94,Bangalore,3896.54,Yes
Haryana,Wheat,2018,Rabi,12869.33,37768.65,2.93,Compost,Canal,Sandy,No,33.8,1176.5,81,Lucknow,4248.96,No
Haryana,Rice,2018,Kharif,33675.87,71841.99,2.13,DAP,Drip,Red,No,39.6,1918.9,58,Mumbai,3716.52,No
Haryana,Maize,2019,Rabi,16753.29,49075.6,2.93,MOP,Sprinkler,Clay,No,34.5,704.5,12,Bangalore,3427.69,No
Punjab,Wheat,2017,Rabi,48970.07,162114.4,3.31,Urea,Drip,Sandy,Yes,38.6,517.3,59,Bangalore,3259.25,Yes
West Bengal,Maize,2017,Kharif,7023.11,29258.12,4.17,None,Drip,Clay,No,36.1,1387.2,73,Amritsar,4443.72,Yes
Tamil Nadu,Rice,2018,Rabi,4517.01,16025.68,3.55,DAP,Canal,Red,Yes,23.3,1541,48,Lucknow,4286.59,Yes
Maharashtra,Rice,2020,Rabi,41304.2,161576.89,3.91,Compost,Sprinkler,Sandy,Yes,25,527.3,17,Ludhiana,1489.15,No
Maharashtra,Sugarcane,2021,Zaid,38991.96,90236.29,2.31,DAP,Rainfed,Black,No,26.8,245.6,97,Bangalore,4394.35,Yes
Tamil Nadu,Rice,2018,Rabi,36364.36,84170.44,2.31,Compost,Drip,Loamy,Yes,23.4,1640,24,Bangalore,2656.27,Yes
Punjab,Wheat,2017,Rabi,39367.82,143500.28,3.65,DAP,Canal,Sandy,Yes,31.6,1955.4,82,Amritsar,2014.79,No
Maharashtra,Wheat,2018,Kharif,17678.17,76393.48,4.32,Compost,Canal,Red,No,39.5,1324.9,36,Ludhiana,4479.07,Yes
Karnataka,Cotton,2020,Zaid,41509.02,78443.32,1.89,MOP,Rainfed,Sandy,Yes,35.2,627.9,64,Ludhiana,2728.1,No
Punjab,Maize,2018,Rabi,44701.74,125229.79,2.8,Urea,Canal,Clay,No,28.5,1993.7,54,Bangalore,4233.46,Yes
Punjab,Sugarcane,2019,Kharif,6685.11,10875.84,1.63,MOP,Drip,Sandy,Yes,20.1,1797.2,31,Amritsar,2053.61,Yes
West Bengal,Wheat,2020,Zaid,42368.19,149455.62,3.53,Urea,Canal,Black,No,26.3,1075.4,29,Mumbai,1015.72,Yes
Tamil Nadu,Cotton,2021,Zaid,33652.89,148010.21,4.4,MOP,Sprinkler,Sandy,No,30.5,1668.1,56,Chennai,2981.84,Yes
Bihar,Maize,2017,Zaid,47255.13,109013.05,2.31,MOP,Sprinkler,Loamy,Yes,26.5,1650.1,72,Kolkata,1400.91,Yes
Bihar,Maize,2019,Kharif,3361.11,8672.17,2.58,DAP,Drip,Sandy,No,22.2,1876.1,25,Amritsar,4017.5,No
Karnataka,Sugarcane,2017,Zaid,23427.28,49821.58,2.13,None,Sprinkler,Clay,Yes,28.9,1697.8,22,Amritsar,2104.3,Yes
Maharashtra,Maize,2020,Kharif,3565.4,13558.16,3.8,Compost,Rainfed,Sandy,Yes,25.1,1323,43,Bangalore,2774.58,Yes
Haryana,Cotton,2021,Zaid,36263.04,94772.91,2.61,Compost,Canal,Black,No,38.2,1257.7,19,Amritsar,1348.13,Yes
Maharashtra,Maize,2017,Kharif,37947.13,61012,1.61,Compost,Drip,Red,Yes,22,988,57,Lucknow,2146.64,Yes
Punjab,Sugarcane,2018,Zaid,16465.74,56551.55,3.43,Urea,Rainfed,Sandy,No,21,1290.3,42,Patna,4125.96,Yes
West Bengal,Sugarcane,2017,Kharif,15083.07,39266.63,2.6,Compost,Canal,Sandy,Yes,20.1,1610.9,52,Patna,1606.35,Yes
Punjab,Wheat,2018,Kharif,14112.04,56539.05,4.01,Compost,Rainfed,Loamy,Yes,26.6,1941.2,56,Mumbai,3588.64,Yes
